text
Obstaranie dlhodobého nehmotného majetku nehmotný substrát softverlicencie
Obstaranie dlhodobého hmotného majetku prieskumné geologické geodetické a projektové práce umelecké diela otvárky nových lomov pieskovní a hlinísk technickú rekultiváciu dopravné montážne práce a clo
Pokladnica
Ceniny poštové známky kolky telefónne karty stravné listky príspevok na stravovanie karty na tankovanie
Bankové účty bankový výpis pohyb peňazí prevod bankový prevod
Odberatelia vydana faktura uhrada  predaj
Dodávatelia nákup zúčtovanie vyúčtovanie prijatá dodavatelska faktúra
Daň z pridanej hodnoty dane  DPH  preplatok DPH samozdanenie faktúra
Spotreba materiálu náhradne súčiastky diely pri opravách  prevádzkové látky oleje  spotreba materiálu vo výrobe vrátený materiál použítý tovar Spotreba paliva plynov aj materiálov predaj materiálu spotreba materiálu
Spotreba energie vodné stočné externé dodávky elektrickej energie plynu pary vody
Predaný tovar sklad výdaj tovaru tovar na ceste obstaranie tovaru úbytok tovaru
Opravy a udržiavanie práca  obnova údržba
Cestovné tuzemské a zahranične cesty náhrady za ubytovanie parkovné taxi strava autobus vlaky pohonné hmoty letenka
Náklady na reprezentáciu reklamné predmety teambuilding pohostenie obchodnych partnerov dary
Ostatné služby sporostredkovateľská činnosť poredenstvo auditorská činnosť vedenie účtovníctva nájomné prepravné odvoz telekomunikačné služby upratovanie
Tržby za vlastné výrobky vyrobky
Tržby z predaja služieb vykonanie prace a služby poskytnuté služby
Tržby za tovar predaj pri vystavenej fakture
Tržby z predaja dlhodobého nehmotného majetku a dlhodobého hmotného majetku
Tržby z predaja materiálu
